"title","desciption","tags"
"آموزشگاه زبان سفیرگفتمان(آقایان)","<div style=""text-align: center;"">&nbsp;(شعبه کودک و نوجوان)</div>
<ul style=""margin-right: 42px; margin-bottom: 0px; margin-left: 0px; padding: 0px; border: 0px; vertical-align: baseline; list-style: square; text-align: right;"">
<li style=""margin: 0px; padding: 0px; border: 0px; vertical-align: baseline;"">مجوز رسمی از وزارت آموزش و پرورش،وزارت فرهنگ و ارشاد اسلامی</li>
<li style=""margin: 0px; padding: 0px; border: 0px; vertical-align: baseline;"">گواهینامه بین المللی ISO 9001 در مدیریت کیفیت</li>
<li style=""margin: 0px; padding: 0px; border: 0px; vertical-align: baseline;"">گواهینامه بین المللی ISO 10002 در رسیدگی به شکایات مشتریان</li>
<li style=""margin: 0px; padding: 0px; border: 0px; vertical-align: baseline;"">نمایندگی رسمی آکادمی مدرسین آکسفورد (OTA) تحت نظر انتشارات دانشگاه آکسفورد OUP</li>
<li style=""margin: 0px; padding: 0px; border: 0px; vertical-align: baseline;"">مرکز مجاز برگزاری دوره های تربیت مدرس CELTA تحت نظر دپارتمان ESOL Examination دانشگاه Cambridge</li>
<li style=""margin: 0px; padding: 0px; border: 0px; vertical-align: baseline;"">آموزش سریع مکالمه زبان انگلیسی و فرانسه به صورت فشرده، ترمیک، جمعه، دو روز در هفته، فوق فشرده و پنجشنبه</li>
<li style=""margin: 0px; padding: 0px; border: 0px; vertical-align: baseline;"">استفاده از تجهیزات مدرن آموزشی (DVD player و LCD) و سیستم های صوتی پیشرفته در کلاس ها</li>
<li style=""margin: 0px; padding: 0px; border: 0px; vertical-align: baseline;"">برگزاری کلاس های کم جمعیت با محدودیت تعداد دانشجویان(حداکثر 12نفر در مقاطع پیشرفته و حداکثر 17 نفر در سایر مقاطع)</li>
<li style=""margin: 0px; padding: 0px; border: 0px; vertical-align: baseline;"">کنترل مداوم کیفیت آموزشی در طول ترم از طریق دوربین های مدار بسته توسط مدیران آموزش واحدها</li>
<li style=""margin: 0px; padding: 0px; border: 0px; vertical-align: baseline;"">برگزاری کلاس های تخصصی آمادگی&nbsp;<a class=""safir-link"" style=""margin: 0px; padding: 0px; border: 0px; transition: all 0.4s ease-in-out 0s; vertical-align: baseline !important; line-height: 1.86em !important; font-variant-numeric: normal !important; font-variant-east-asian: normal !important;"" title=""آزمون IELT"" href=""https://gosafir.com/fa/category/news/%D8%A7%D8%AE%D8%A8%D8%A7%D8%B1-%D9%81%D8%B1%D9%87%D9%86%DA%AF%DB%8C-%D9%87%D9%86%D8%B1%DB%8C/%D8%A2%D8%B2%D9%85%D9%88%D9%86-%D8%A2%D8%B2%D9%85%D8%A7%DB%8C%D8%B4%DB%8C-%D8%A2%DB%8C%D9%84%D8%AA%D8%B3/"">آزمون IELT</a><a style=""margin: 0px; padding: 0px; border: 0px; transition: all 0.4s ease-in-out 0s; vertical-align: baseline !important; line-height: 1.86em !important; font-variant-numeric: normal !important; font-variant-east-asian: normal !important;"" title=""S"" href=""https://gosafir.com/fa/category/news/%D8%A7%D8%AE%D8%A8%D8%A7%D8%B1-%D9%81%D8%B1%D9%87%D9%86%DA%AF%DB%8C-%D9%87%D9%86%D8%B1%DB%8C/%D8%A2%D8%B2%D9%85%D9%88%D9%86-%D8%A2%D8%B2%D9%85%D8%A7%DB%8C%D8%B4%DB%8C-%D8%A2%DB%8C%D9%84%D8%AA%D8%B3/"">S</a></li>
<li style=""margin: 0px; padding: 0px; border: 0px; vertical-align: baseline;"">اعطای گواهینامه و مدارک معتبر فارغ التحصیلی در پایان مقاطع تحصیلی میانی&nbsp;و پیشرفته</li>
<li style=""margin: 0px; padding: 0px; border: 0px; vertical-align: baseline;"">امکان عضویت دانشجویان در کانون فارغ التحصیلان&nbsp;<a class=""safir-link"" style=""margin: 0px; padding: 0px; border: 0px; transition: all 0.4s ease-in-out 0s; vertical-align: baseline !important; line-height: 1.86em !important; font-variant-numeric: normal !important; font-variant-east-asian: normal !important;"" title=""آکادمی"" href=""https://gosafir.com/"">آکادمی</a><a class=""safir-link"" style=""margin: 0px; padding: 0px; border: 0px; transition: all 0.4s ease-in-out 0s; vertical-align: baseline !important; line-height: 1.86em !important; font-variant-numeric: normal !important; font-variant-east-asian: normal !important;"" title="" زبان"" href=""https://gosafir.com/"">&nbsp;زبان</a> سفیر گفتمان</li>
<li style=""margin: 0px; padding: 0px; border: 0px; vertical-align: baseline;"">امکان استخدام فارغ التحصیلان مقطع پیشرفته جهت تدریس در&nbsp;<a class=""safir-link"" style=""margin: 0px; padding: 0px; border: 0px; transition: all 0.4s ease-in-out 0s; vertical-align: baseline !important; line-height: 1.86em !important; font-variant-numeric: normal !important; font-variant-east-asian: normal !important;"" title=""آکادمی زبان"" href=""https://gosafir.com/fa/"">آکادمی&nbsp;زبان</a> سفیر گفتمان</li>
<li style=""margin: 0px; padding: 0px; border: 0px; vertical-align: baseline;"">امکان تعیین سطح،ثبت نام و پرداخت شهریه online در کلیه واحدها</li>
<li style=""margin: 0px; padding: 0px; border: 0px; vertical-align: baseline;"">برگزاری آزمون های منظم میان ترم و پایان ترم و اعلام نمرات از طریق وب سایت<a class=""safir-link"" style=""margin: 0px; padding: 0px; border: 0px; transition: all 0.4s ease-in-out 0s; vertical-align: baseline !important; line-height: 1.86em !important; font-variant-numeric: normal !important; font-variant-east-asian: normal !important;"" title=""آکادمی زبان"" href=""https://gosafir.com/"">آکادمی زبان</a><span style=""border-style: initial; border-color: initial; border-image: initial;"">&nbsp;سفیر گفتمان</span></li>
<li style=""margin: 0px; padding: 0px; border: 0px; vertical-align: baseline;"">اعطای اعتبار ریالی و سایر تسهیلات آموزشی به مشتریان وفادار از طریق نرم افزار تحت وب سفیر (ناتوس)</li>
<li style=""margin: 0px; padding: 0px; border: 0px; vertical-align: baseline;"">گسترش واحدهای آموزشی متعدد در نقاط مختلف ایران (شمال، شرق، غرب، جنوب و مرکز تهران و شهرستان ها)</li>
<li style=""margin: 0px; padding: 0px; border: 0px; vertical-align: baseline;"">امکان جابجایی دانشجویان بین واحدهای تهران و شهرستان ها بدون نیاز به آزمون تعیین سطح مجدد</li>
<li style=""margin: 0px; padding: 0px; border: 0px; vertical-align: baseline;"">برگزاری کلاس های بحث آزاد</li>
<li style=""margin: 0px; padding: 0px; border: 0px; vertical-align: baseline;"">بهره گیری از کادر علمی متخصص با مدارک بین المللی CELTA و TESOL</li>
<li style=""margin: 0px; padding: 0px; border: 0px; vertical-align: baseline;"">امکان عقد قرارداد با شرکت ها و سازمان های دولتی و خصوصی و برگزاری دوره های عمومی و تخصصی در محل کار متقاضیان</li>
<li style=""margin: 0px; padding: 0px; border: 0px; vertical-align: baseline;"">نمایشگاه و فروشگاه دائمی کتاب در هر واحد با همکاری نماینده انتشارات آکسفورد (نشر اشتیاق)</li>
<li style=""margin: 0px; padding: 0px; border: 0px; vertical-align: baseline;"">پوشش بیمه مسئولیت و حوادث برای کلیه دانشجویان در تمام طول مدت حضور در واحدهای&nbsp;<a class=""safir-link"" style=""margin: 0px; padding: 0px; border: 0px; transition: all 0.4s ease-in-out 0s; vertical-align: baseline !important; line-height: 1.86em !important; font-variant-numeric: normal !important; font-variant-east-asian: normal !important;"" title=""آکادمی زبان"" href=""https://gosafir.com/"">آکادمی زبان</a><span style=""border-style: initial; border-color: initial; border-image: initial;"">&nbsp;سفیر گفتمان</span></li>
<li style=""margin: 0px; padding: 0px; border: 0px; vertical-align: baseline;"">پوشش بیمه تامین اجتماعی،تکمیلی،مسئولیت و حوادث برای کلیه مدیران،کارکنان و اساتید در طول خدمت</li>
</ul>","کلاس زبان-زبان خارجه-زبان انگلیسی-دوره زبان-آموزش زبان-آموزش زبان-کلاس زبان مشهد-زبان-زبان انگلیسی-مکالمه-بحث آزاد-"
"آموزشگاه زبان سفیرگفتمان(صارمی)","<div style=""text-align: center;"">&nbsp;(شعبه کودک و نوجوان)</div>
<ul style=""margin-right: 42px; margin-bottom: 0px; margin-left: 0px; padding: 0px; border: 0px; vertical-align: baseline; list-style: square; text-align: right;"">
<li style=""margin: 0px; padding: 0px; border: 0px; vertical-align: baseline;"">مجوز رسمی از وزارت آموزش و پرورش،وزارت فرهنگ و ارشاد اسلامی</li>
<li style=""margin: 0px; padding: 0px; border: 0px; vertical-align: baseline;"">گواهینامه بین المللی ISO 9001 در مدیریت کیفیت</li>
<li style=""margin: 0px; padding: 0px; border: 0px; vertical-align: baseline;"">گواهینامه بین المللی ISO 10002 در رسیدگی به شکایات مشتریان</li>
<li style=""margin: 0px; padding: 0px; border: 0px; vertical-align: baseline;"">نمایندگی رسمی آکادمی مدرسین آکسفورد (OTA) تحت نظر انتشارات دانشگاه آکسفورد OUP</li>
<li style=""margin: 0px; padding: 0px; border: 0px; vertical-align: baseline;"">مرکز مجاز برگزاری دوره های تربیت مدرس CELTA تحت نظر دپارتمان ESOL Examination دانشگاه Cambridge</li>
<li style=""margin: 0px; padding: 0px; border: 0px; vertical-align: baseline;"">آموزش سریع مکالمه زبان انگلیسی و فرانسه به صورت فشرده، ترمیک، جمعه، دو روز در هفته، فوق فشرده و پنجشنبه</li>
<li style=""margin: 0px; padding: 0px; border: 0px; vertical-align: baseline;"">استفاده از تجهیزات مدرن آموزشی (DVD player و LCD) و سیستم های صوتی پیشرفته در کلاس ها</li>
<li style=""margin: 0px; padding: 0px; border: 0px; vertical-align: baseline;"">برگزاری کلاس های کم جمعیت با محدودیت تعداد دانشجویان(حداکثر 12نفر در مقاطع پیشرفته و حداکثر 17 نفر در سایر مقاطع)</li>
<li style=""margin: 0px; padding: 0px; border: 0px; vertical-align: baseline;"">کنترل مداوم کیفیت آموزشی در طول ترم از طریق دوربین های مدار بسته توسط مدیران آموزش واحدها</li>
<li style=""margin: 0px; padding: 0px; border: 0px; vertical-align: baseline;"">برگزاری کلاس های تخصصی آمادگی&nbsp;<a class=""safir-link"" style=""margin: 0px; padding: 0px; border: 0px; transition: all 0.4s ease-in-out 0s; vertical-align: baseline !important; line-height: 1.86em !important; font-variant-numeric: normal !important; font-variant-east-asian: normal !important;"" title=""آزمون IELT"" href=""https://gosafir.com/fa/category/news/%D8%A7%D8%AE%D8%A8%D8%A7%D8%B1-%D9%81%D8%B1%D9%87%D9%86%DA%AF%DB%8C-%D9%87%D9%86%D8%B1%DB%8C/%D8%A2%D8%B2%D9%85%D9%88%D9%86-%D8%A2%D8%B2%D9%85%D8%A7%DB%8C%D8%B4%DB%8C-%D8%A2%DB%8C%D9%84%D8%AA%D8%B3/"">آزمون IELT</a><a style=""margin: 0px; padding: 0px; border: 0px; transition: all 0.4s ease-in-out 0s; vertical-align: baseline !important; line-height: 1.86em !important; font-variant-numeric: normal !important; font-variant-east-asian: normal !important;"" title=""S"" href=""https://gosafir.com/fa/category/news/%D8%A7%D8%AE%D8%A8%D8%A7%D8%B1-%D9%81%D8%B1%D9%87%D9%86%DA%AF%DB%8C-%D9%87%D9%86%D8%B1%DB%8C/%D8%A2%D8%B2%D9%85%D9%88%D9%86-%D8%A2%D8%B2%D9%85%D8%A7%DB%8C%D8%B4%DB%8C-%D8%A2%DB%8C%D9%84%D8%AA%D8%B3/"">S</a></li>
<li style=""margin: 0px; padding: 0px; border: 0px; vertical-align: baseline;"">اعطای گواهینامه و مدارک معتبر فارغ التحصیلی در پایان مقاطع تحصیلی میانی&nbsp;و پیشرفته</li>
<li style=""margin: 0px; padding: 0px; border: 0px; vertical-align: baseline;"">امکان عضویت دانشجویان در کانون فارغ التحصیلان&nbsp;<a class=""safir-link"" style=""margin: 0px; padding: 0px; border: 0px; transition: all 0.4s ease-in-out 0s; vertical-align: baseline !important; line-height: 1.86em !important; font-variant-numeric: normal !important; font-variant-east-asian: normal !important;"" title=""آکادمی"" href=""https://gosafir.com/"">آکادمی</a><a class=""safir-link"" style=""margin: 0px; padding: 0px; border: 0px; transition: all 0.4s ease-in-out 0s; vertical-align: baseline !important; line-height: 1.86em !important; font-variant-numeric: normal !important; font-variant-east-asian: normal !important;"" title="" زبان"" href=""https://gosafir.com/"">&nbsp;زبان</a> سفیر گفتمان</li>
<li style=""margin: 0px; padding: 0px; border: 0px; vertical-align: baseline;"">امکان استخدام فارغ التحصیلان مقطع پیشرفته جهت تدریس در&nbsp;<a class=""safir-link"" style=""margin: 0px; padding: 0px; border: 0px; transition: all 0.4s ease-in-out 0s; vertical-align: baseline !important; line-height: 1.86em !important; font-variant-numeric: normal !important; font-variant-east-asian: normal !important;"" title=""آکادمی زبان"" href=""https://gosafir.com/fa/"">آکادمی&nbsp;زبان</a> سفیر گفتمان</li>
<li style=""margin: 0px; padding: 0px; border: 0px; vertical-align: baseline;"">امکان تعیین سطح،ثبت نام و پرداخت شهریه online در کلیه واحدها</li>
<li style=""margin: 0px; padding: 0px; border: 0px; vertical-align: baseline;"">برگزاری آزمون های منظم میان ترم و پایان ترم و اعلام نمرات از طریق وب سایت<a class=""safir-link"" style=""margin: 0px; padding: 0px; border: 0px; transition: all 0.4s ease-in-out 0s; vertical-align: baseline !important; line-height: 1.86em !important; font-variant-numeric: normal !important; font-variant-east-asian: normal !important;"" title=""آکادمی زبان"" href=""https://gosafir.com/"">آکادمی زبان</a><span style=""border-style: initial; border-color: initial; border-image: initial;"">&nbsp;سفیر گفتمان</span></li>
<li style=""margin: 0px; padding: 0px; border: 0px; vertical-align: baseline;"">اعطای اعتبار ریالی و سایر تسهیلات آموزشی به مشتریان وفادار از طریق نرم افزار تحت وب سفیر (ناتوس)</li>
<li style=""margin: 0px; padding: 0px; border: 0px; vertical-align: baseline;"">گسترش واحدهای آموزشی متعدد در نقاط مختلف ایران (شمال، شرق، غرب، جنوب و مرکز تهران و شهرستان ها)</li>
<li style=""margin: 0px; padding: 0px; border: 0px; vertical-align: baseline;"">امکان جابجایی دانشجویان بین واحدهای تهران و شهرستان ها بدون نیاز به آزمون تعیین سطح مجدد</li>
<li style=""margin: 0px; padding: 0px; border: 0px; vertical-align: baseline;"">برگزاری کلاس های بحث آزاد</li>
<li style=""margin: 0px; padding: 0px; border: 0px; vertical-align: baseline;"">بهره گیری از کادر علمی متخصص با مدارک بین المللی CELTA و TESOL</li>
<li style=""margin: 0px; padding: 0px; border: 0px; vertical-align: baseline;"">امکان عقد قرارداد با شرکت ها و سازمان های دولتی و خصوصی و برگزاری دوره های عمومی و تخصصی در محل کار متقاضیان</li>
<li style=""margin: 0px; padding: 0px; border: 0px; vertical-align: baseline;"">نمایشگاه و فروشگاه دائمی کتاب در هر واحد با همکاری نماینده انتشارات آکسفورد (نشر اشتیاق)</li>
<li style=""margin: 0px; padding: 0px; border: 0px; vertical-align: baseline;"">پوشش بیمه مسئولیت و حوادث برای کلیه دانشجویان در تمام طول مدت حضور در واحدهای&nbsp;<a class=""safir-link"" style=""margin: 0px; padding: 0px; border: 0px; transition: all 0.4s ease-in-out 0s; vertical-align: baseline !important; line-height: 1.86em !important; font-variant-numeric: normal !important; font-variant-east-asian: normal !important;"" title=""آکادمی زبان"" href=""https://gosafir.com/"">آکادمی زبان</a><span style=""border-style: initial; border-color: initial; border-image: initial;"">&nbsp;سفیر گفتمان</span></li>
<li style=""margin: 0px; padding: 0px; border: 0px; vertical-align: baseline;"">پوشش بیمه تامین اجتماعی،تکمیلی،مسئولیت و حوادث برای کلیه مدیران،کارکنان و اساتید در طول خدمت</li>
</ul>","فکلاس زبان-زبان خارجه-زبان انگلیسی-دوره زبان-آموزش زبان-آموزش زبان-کلاس زبان مشهد-زبان-زبان انگلیسی"
"آموزشگاه زبان سفیر فرهنگ پارس","<p>زبان خارجه</p>","زبان-کلاس زبان-زبان انگلیسی-کلاس زبان مشهد-آموزشگاه زبان-آموزشگاه زبان مشهد-ielts-toefl ibt"
"آموزشگاه زبان سورنا(جمع شده است)","<p><span style=""text-align: justify;"">مؤسسه پسرانه زبانهای خارجی سورنا با مجوز رسمی از وزارت آموزش و</span><span style=""text-align: justify;"">&nbsp;پرورش با هدف برگزاری کلاسهای عمومی ، نیمه خصوصی و&nbsp;</span><span style=""text-align: justify;"">خصوصی تاسیس گردیده است. این موسسه از ابتدا با انتخاب جمعی از&nbsp;</span><span style=""text-align: justify;"">بهترین اساتید زبان شناخته شده و مشهور در سطح مشهد و با هدف ارائه&nbsp;</span><span style=""text-align: justify;"">کیفیت و خدمات برتر نسبت به سایر موسسات آموزشی مشهد بنیان نهاده&nbsp;</span><span style=""text-align: justify;"">شده است.</span></p>","زبان-کلاس زبان-زبان انگلیسی-کلاس زبان مشهد-آموزشگاه زبان-آموزشگاه زبان مشهد-ielts-toefl ibt"
"موسسه زبانـ‌های خارجی دایالوگـ","<h5 style=""margin: 0.8em 0px 0.3em; padding: 0px; border: 0px; vertical-align: baseline;"">این مرکز با هدف تحولی نو در عرصه ی اموزش زبان های خارجی با رویکردی نوین در راستای نیازهای فعلی جامعه یعنی تکیه بر جنبه های ارتباطی و مکالمه کاربردی زبان جهت برآورده کردن این نیاز مبرم امروزی راه اندازی و تاسیس گردیده است. مدرسین این مرکز دارای مدرک کارشناسی ارشد زبان انگلیسی و یا مدرک بین المللی (IELTS / TOEFL (iBT می باشند و یا در امتحانات داخلی موسسه که بر اساس این آزمون ها برگزار شده اند-حد نصاب قبولی علمی را کسب نموده و بعد از گذراندن دوره تربیت مدرس مرتبط با این کتب - نوین ترین و کاربردی ترین شیوه های آموزش زبان برای تدریس این کتب را فراگرفته اند.</h5>","زبان-کلاس زبان-زبان انگلیسی-کلاس زبان مشهد-آموزشگاه زبان-آموزشگاه زبان مشهد-ielts-toefl ibt-آلمانی-فرانسه-عربی-مکالمه-بحث آزاد-"
"آموزشگاه زبان شکوه دانش توس(فرامرز)","<div>
<h4 style=""text-align: center;""><label style=""text-align: center; box-sizing: inherit; float: right; margin-left: 10px;"">&nbsp; (شعبه فرامرز- پسرانه 2)</label></h4>
<h4><label style=""box-sizing: inherit; float: right; margin-left: 10px;"">موسسه زبانهای خارجی شکوه دانش توس با بیش از 40 سال سابقه فعالیت ، به عنوان یکی از قدیمی ترین و معتبر ترین مراکز آموزش زبانهای خارجی در سطح شهر مشهد شناخته می شود. این مرکز با به کارگیری نیروهای متخصص و با تجربه و با استفاده از سیستم آموزشی روز دنیا و ایجاد فضای شاد و جذاب به آموزش زبان های انگلیسی و فرانسه به کلیه سطوح خردسالان، نوجوانان و بزرگسالان می پردازد. برگزاری کلاسهای تخصصی مکالمه زبان انگلیسی و فرانسه، دوره های ویژه خردسالان 3 تا 6 سال، دوره های تخصصی آمادگی آزمون های بین المللی دانشگاه کمبریج (IELTS, FCE, CAE, CPE) ، دوره های بحث آزاد زبان انگلیسی (Panel Discussion) و همچنین کارگاههای تخصصی تربیت مدرس TTC ، از جمله فعالیت این موسسه در سطح شهر مشهد میباشد. همچنین اخذ مجوز برگزاری آزمون بین المللی دانشگاه کمبریج در شهر مشهد از جمله اقدامات دیگر این موسسه جهت ارتقا سطح علمی زبان آموزان گرامی می باشد. امید است با تلاش و پشتکار فراگیران و همچنین حمایت های کادر علمی و اجرایی این مرکز شاهد موفقیت های روزافزون موسسه شکوه دانش توس در شهر مشهد مقدس باشییم.</label></h4>
<h4>&nbsp;</h4>
<h4>&nbsp;</h4>
<h4>&nbsp;</h4>
<h4>&nbsp;</h4>
<h4>&nbsp;</h4>
<h4>&nbsp;</h4>
<h4><label style=""box-sizing: inherit; float: right; margin-left: 10px;"">دوره های آموزشی:</label></h4>
<ul class=""is-clearfix"" style=""box-sizing: inherit; margin-right: 0px; margin-bottom: 0px; margin-left: 0px; padding: 0px; list-style: none; animation: hue 60s linear 0s infinite normal none running;"">
<li style=""box-sizing: inherit; margin: 0px; padding: 0px; float: right; display: inline-table; list-style: none; line-height: 24px;"">
<h4><span class=""is-size-6 has-text-grey"" style=""box-sizing: inherit;"">آموزش آیتلس IELTS،&nbsp;</span></h4>
</li>
<li style=""box-sizing: inherit; margin: 0px; padding: 0px; float: right; display: inline-table; list-style: none; line-height: 24px;"">
<h4><span class=""is-size-6 has-text-grey"" style=""box-sizing: inherit;"">آموزش تافل TOEFL،&nbsp;</span></h4>
</li>
<li style=""box-sizing: inherit; margin: 0px; padding: 0px; float: right; display: inline-table; list-style: none; line-height: 24px;"">
<h4><span class=""is-size-6 has-text-grey"" style=""box-sizing: inherit;"">آموزش زبان</span></h4>
</li>
<li style=""box-sizing: inherit; margin: 0px; padding: 0px; float: right; display: inline-table; list-style: none; line-height: 24px;"">
<h4><span class=""is-size-6 has-text-grey"" style=""box-sizing: inherit;"">دوره ویژه خردسالان ۳ تا ۶سال،</span></h4>
</li>
<li style=""box-sizing: inherit; margin: 0px; padding: 0px; float: right; display: inline-table; list-style: none; line-height: 24px;"">
<h4><span class=""is-size-6 has-text-grey"" style=""box-sizing: inherit;"">آمادگی آزمون های بین المللی دانشگاه کمبریج ( FCE, CAE, CPE)،</span></h4>
</li>
<li style=""box-sizing: inherit; margin: 0px; padding: 0px; float: right; display: inline-table; list-style: none; line-height: 24px;"">
<h4><span class=""is-size-6 has-text-grey"" style=""box-sizing: inherit;"">دوره های بحث آزاد زبان انگلیسی (Panel Discussion)</span></h4>
</li>
<li style=""box-sizing: inherit; margin: 0px; padding: 0px; float: right; display: inline-table; list-style: none; line-height: 24px;"">
<h4><span class=""is-size-6 has-text-grey"" style=""box-sizing: inherit;"">، کارگاههای تخصصی تربیت مدرس TTC</span></h4>
</li>
</ul>
</div>","زبان-کلاس زبان-زبان انگلیسی-کلاس زبان مشهد-آموزشگاه زبان-آموزشگاه زبان مشهد-ielts-toefl ibt"
"آموزشگاه زبان شکوه دانش توس(احمدآباد)","<div style=""text-align: center;""><span style=""color: inherit;"">(شعبه احمدآباد-دخترانه 2)</span></div>
<h5>موسسه زبانهای خارجی شکوه دانش توس با بیش از 40 سال سابقه فعالیت ، به عنوان یکی از قدیمی ترین و معتبر ترین مراکز آموزش زبانهای خارجی در سطح شهر مشهد شناخته می شود. این مرکز با به کارگیری نیروهای متخصص و با تجربه و با استفاده از سیستم آموزشی روز دنیا و ایجاد فضای شاد و جذاب به آموزش زبان های انگلیسی و فرانسه به کلیه سطوح خردسالان، نوجوانان و بزرگسالان می پردازد. برگزاری کلاسهای تخصصی مکالمه زبان انگلیسی و فرانسه، دوره های ویژه خردسالان 3 تا 6 سال، دوره های تخصصی آمادگی آزمون های بین المللی دانشگاه کمبریج (IELTS, FCE, CAE, CPE) ، دوره های بحث آزاد زبان انگلیسی (Panel Discussion) و همچنین کارگاههای تخصصی تربیت مدرس TTC ، از جمله فعالیت این موسسه در سطح شهر مشهد میباشد. همچنین اخذ مجوز برگزاری آزمون بین المللی دانشگاه کمبریج در شهر مشهد از جمله اقدامات دیگر این موسسه جهت ارتقا سطح علمی زبان آموزان گرامی می باشد. امید است با تلاش و پشتکار فراگیران و همچنین حمایت های کادر علمی و اجرایی این مرکز شاهد موفقیت های روزافزون موسسه شکوه دانش توس در شهر مشهد مقدس باشیم.</h5>","زبان-کلاس زبان-زبان انگلیسی-کلاس زبان مشهد-آموزشگاه زبان-آموزشگاه زبان مشهد-مکالمه-بحث آزاد"
"آموزشگاه زبان شکوه دانش توس(تکرار ردیف 140)","<h5>&nbsp;</h5>
<h4 style=""text-align: center;""><span style=""color: inherit;"">(شعبه فرامرز-دخترانه 1)</span></h4>
<p>موسسه زبانهای خارجی شکوه دانش توس با بیش از 40 سال سابقه فعالیت ، به عنوان یکی از قدیمی ترین و معتبر ترین مراکز آموزش زبانهای خارجی در سطح شهر مشهد شناخته می شود. این مرکز با به کارگیری نیروهای متخصص و با تجربه و با استفاده از سیستم آموزشی روز دنیا و ایجاد فضای شاد و جذاب به آموزش زبان های انگلیسی و فرانسه به کلیه سطوح خردسالان، نوجوانان و بزرگسالان می پردازد. برگزاری کلاسهای تخصصی مکالمه زبان انگلیسی و فرانسه، دوره های ویژه خردسالان 3 تا 6 سال، دوره های تخصصی آمادگی آزمون های بین المللی دانشگاه کمبریج (IELTS, FCE, CAE, CPE) ، دوره های بحث آزاد زبان انگلیسی (Panel Discussion) و همچنین کارگاههای تخصصی تربیت مدرس TTC ، از جمله فعالیت این موسسه در سطح شهر مشهد میباشد. همچنین اخذ مجوز برگزاری آزمون بین المللی دانشگاه کمبریج در شهر مشهد از جمله اقدامات دیگر این موسسه جهت ارتقا سطح علمی زبان آموزان گرامی می باشد. امید است با تلاش و پشتکار فراگیران و همچنین حمایت های کادر علمی و اجرایی این مرکز شاهد موفقیت های روزافزون موسسه شکوه دانش توس در شهر مشهد مقدس باشیم.</p>","زبان-کلاس زبان-زبان انگلیسی-کلاس زبان مشهد-آموزشگاه زبان-آموزشگاه زبان مشهد-ielts-toefl ibt"
"آموزشگاه زبان شکوه دانش توس(وکیل آباد)","<h5>&nbsp;</h5>
<h4 style=""text-align: center;""><span style=""color: inherit;"">&nbsp;(شعبه وکیل آباد - دخترانه 3)</span></h4>
<h4>موسسه زبانهای خارجی شکوه دانش توس با بیش از 40 سال سابقه فعالیت ، به عنوان یکی از قدیمی ترین و معتبر ترین مراکز آموزش زبانهای خارجی در سطح شهر مشهد شناخته می شود. این مرکز با به کارگیری نیروهای متخصص و با تجربه و با استفاده از سیستم آموزشی روز دنیا و ایجاد فضای شاد و جذاب به آموزش زبان های انگلیسی و فرانسه به کلیه سطوح خردسالان، نوجوانان و بزرگسالان می پردازد. برگزاری کلاسهای تخصصی مکالمه زبان انگلیسی و فرانسه، دوره های ویژه خردسالان 3 تا 6 سال، دوره های تخصصی آمادگی آزمون های بین المللی دانشگاه کمبریج (IELTS, FCE, CAE, CPE) ، دوره های بحث آزاد زبان انگلیسی (Panel Discussion) و همچنین کارگاههای تخصصی تربیت مدرس TTC ، از جمله فعالیت این موسسه در سطح شهر مشهد میباشد. همچنین اخذ مجوز برگزاری آزمون بین المللی دانشگاه کمبریج در شهر مشهد از جمله اقدامات دیگر این موسسه جهت ارتقا سطح علمی زبان آموزان گرامی می باشد. امید است با تلاش و پشتکار فراگیران و همچنین حمایت های کادر علمی و اجرایی این مرکز شاهد موفقیت های روزافزون موسسه شکوه دانش توس در شهر مشهد مقدس باشیم.</h4>","زبان-کلاس زبان-زبان انگلیسی-کلاس زبان مشهد-آموزشگاه زبان-آموزشگاه زبان مشهد-ielts-toefl ibt"
"آموزشگاه زبان شهر زبان","<p>آموزشگاه زبان انگلیسی</p>","زبان-کلاس زبان-زبان انگلیسی-کلاس زبان مشهد-آموزشگاه زبان-آموزشگاه زبان مشهد-مکالمه-بحث آزاد"
"آموزشگاه زبان علّامه طباطبایی","<p>موسسه فرهنگی آموزشی علامه طباطبایی</p>","زبان-کلاس زبان-زبان انگلیسی-کلاس زبان مشهد-آموزشگاه زبان-آموزشگاه زبان مشهد-"
"آموزشگاه زبان علم و فن باران(شماره ها اشتباه و موسسه یافت نشد)","<p>زبان خارجه</p>","زبان-کلاس زبان-زبان انگلیسی-کلاس زبان مشهد-آموزشگاه زبان-آموزشگاه زبان مشهد-ielts-toefl ibt"
"آموزشگاه زبان فردوسی حکیم","<div>
<div>
<p>کلاسهای ترمی انگلیسی, فرانسه وآلمانی می کند و همچنین کلاس های آمادگی برای آزمون های:</p>
</div>
<div>
<p>IELTS</p>
<p>TOEFL</p>
<p>GRE</p>
</div>
</div>","زبان-کلاس زبان-زبان انگلیسی-کلاس زبان مشهد-آموزشگاه زبان-آموزشگاه زبان مشهد-ielts-toefl ibt-فرانسه-فرانسوی-آلمانی"
"آموزشگاه زبان فرهنگ اندیشه(شماره اشتباه است)","<p>زبان خارجه</p>","زبان-کلاس زبان-زبان انگلیسی-کلاس زبان مشهد-آموزشگاه زبان-آموزشگاه زبان مشهد-ielts-toefl ibt"
